nom;ra_degres;ra;de_degres;de;mag;
HR   1;1.29125;0.02253656396637678;48.4375;0.8453938564347534;6.7;
HR   2;1.2658333333333334;0.022092959448161555;-7.545833333333333;-0.13169963647340546;6.29;
HR   3;1.33375;0.02327832889847437;-15.6125;-0.27248952946761473;4.61;
HR   4;1.425;0.024870941840919196;18.941666666666666;0.3305944491485926;5.51;
HR   5;1.5666666666666667;0.02734349161457783;64.55;1.1266100321623396;5.96;
HR   6;1.5791666666666666;0.02756165777107712;-50.125;-0.8748462875621577;5.7;
HR   7;1.6104166666666666;0.028107073162325347;66.94166666666666;1.1683524901058706;5.59;
HR   8;1.6533333333333333;0.02885611029963958;29.320833333333333;0.5117450810951707;6.13;
HR   9;1.70875;0.029823313593453107;-24.6125;-0.4295691621471044;6.18;
HR  10;1.8258333333333334;0.0318668032593298;-22.795833333333334;-0.39786234740254073;6.19;
HR  11;1.93375;0.03375030441044035;-10.233333333333333;-0.17860536012075304;6.43;
HR  12;1.945;0.033946653951289714;-29.633333333333333;-0.517199235007653;5.94;
HR  13;2.0145833333333334;0.0351611122224691;-40.94166666666666;-0.7145668845873451;5.68;
HR  14;2.0504166666666666;0.035786521871100395;-8.716666666666667;-0.1521345331321724;6.07;
HR  15;2.0970833333333334;0.03660100885536442;30.358333333333334;0.5298528720846118;2.06;
HR  16;2.0725;0.03617194874758248;-20.358333333333334;-0.35531994688517893;5.99;
HR  17;2.1708333333333334;0.03788818917871024;45.4;0.7923794804054256;6.19;
HR  18;2.1391666666666667;0.03733550158224536;-25.6625;-0.4478951192930448;6.06;
HR  19;2.2175000000000002;0.038702676162974264;31.941666666666666;0.5574872519078554;6.23;
HR  20;2.3341666666666665;0.04073889362363431;89.72083333333333;1.5659239492997457;6.01;
HR  21;2.294583333333333;0.04004803412805322;61.24583333333333;1.0689414447943604;2.27;
HR  22;2.26;0.03944444109507184;21.179166666666667;0.36964619116196573;5.53;
HR  23;2.26;0.03944444109507184;-54.02916666666667;-0.942986850442103;6.33;
HR  24;2.3375;0.040797071265367454;-41.81666666666666;-0.7298385155422954;5.42;
HR  25;2.3529166666666668;0.041066142858383246;-56.2125;-0.9810932057773125;3.88;
HR  26;2.5095833333333335;0.043800492019841035;13.183333333333334;0.23009257305458578;5.51;
HR  27;2.580416666666667;0.04503676690667035;47.083333333333336;0.8217591894806635;5.03;
HR  28;2.62375;0.04579307624920122;59.483333333333334;1.0381800167279605;6.74;
HR  29;2.578333333333333;0.045000405880587124;-8.729166666666666;-0.15235269928867168;5.84;
HR  30;2.50875;0.043785947609407745;-85.35833333333333;-1.489783960681493;5.28;
HR  31;2.6783333333333332;0.046745735132581456;-20.7;-0.3612831551628262;5.85;
HR  32;2.660833333333333;0.04644030251348245;-76.36666666666666;-1.3328497721063362;6.64;
HR  33;2.81625;0.04915283505929031;-22.020833333333332;-0.3843360456995846;4.89;
HR  34;2.8933333333333335;0.050498193024369274;-38.99583333333334;-0.6806056862256221;5.41;
HR  35;2.933333333333333;0.051196324725167;-36.99583333333333;-0.6456991011857355;5.25;
HR  36;2.99625;0.0522944277128801;50.2875;0.8776824475966485;6.16;
HR  37;3.0416666666666665;0.053087098081494186;-31.075;-0.5423610650572379;5.25;
HR  38;3.21;0.056025068989017976;47.4;0.8272860654453121;6.73;
HR  39;3.3091666666666666;0.05775585383057902;17.754166666666666;0.30986866428115994;2.83;
HR  40;3.35;0.05846852994181004;40.80833333333334;0.7122397789180194;6.3;
HR  41;3.3783333333333334;0.058963039896541766;41.52916666666667;0.7248206939428118;5.72;
HR  42;3.4254166666666666;0.059784799086022425;-26.329166666666666;-0.45953064763967366;5.94;
HR  43;3.4341666666666666;0.05993751539557193;-30.270833333333332;-0.5283257089891168;6.31;
HR  44;3.5095833333333335;0.06125378453978433;36.09166666666667;0.6299184158656201;6.25;
HR  45;3.6508333333333334;0.06371906210822631;23.1;0.40317105721069013;4.8;
HR  46;3.615;0.06309365245959501;-18.708333333333336;-0.3265220142272725;5.12;
HR  47;3.3308333333333335;0.05813400850184446;-98.9125;-1.726348796378891;5.77;
HR  48;3.66;0.06387905062299247;-31.991666666666667;-0.5583599165338526;4.44;
HR  49;3.73375;0.06516623094633828;26.2625;0.4583670948050108;6.24;
HR  50;3.745;0.06536258048718764;20.3125;0.35452000431134817;5.79;
HR  51;3.7270833333333333;0.06504987566287199;-17.545833333333334;-0.3062325616728384;5.75;
HR  52;3.779166666666667;0.06595890131495237;39.0375;0.6813329067472864;6.45;
HR  53;3.7941666666666665;0.06622070070275152;31.245833333333334;0.5453426691960616;6.35;
HR  54;3.7425;0.06531894725588779;-47.56666666666666;-0.8301949475319693;6.17;
HR  55;4.058333333333334;0.07083127881010322;90.2625;1.5753778160813818;6.35;
HR  56;4.09;0.07138396640656808;51.920833333333334;0.9061894920458892;6.15;
HR  57;4.037083333333333;0.07046039634405442;-37.69583333333333;-0.6579164059496958;5.67;
HR  58;3.98;0.06946410422937431;-88.67083333333333;-1.5475979921538052;6.49;
HR  59;4.142083333333333;0.07229299205864845;11.6;0.20245819323134223;6.11;
HR  60;4.237916666666667;0.07396559925847636;69.0;1.2042771838760873;5.74;
HR  61;4.177083333333333;0.07290385729684647;-23.15833333333333;-0.4041891659410201;6.47;
HR  62;4.287916666666666;0.07483826388447351;61.2125;1.068359668377029;5.89;
HR  63;4.272916666666666;0.07457646449667436;48.225;0.8416850317742655;4.61;
HR  64;4.204166666666667;0.07337655063592827;-89.70833333333333;-1.5657057831432464;6.77;
